current name,date,past names,description,N
experiment0,2013.08.27,exp0,sorites premises take 0 not extreme enough values,30
experiment1,2013.08.28,exp0,sorites premises take 1 with more extreme values,50
experiment2,2013.10.08,exp2.0 V0,sorites priors binned free response,105
experiment3,2013.12.04,exp2.1 V1,prices prior bins: first 21 Ss 10 bins each item,21
experiment4,2013.12.04,exp2.2 V2,prices prior bins: next 17 20 bins each item,17
experiment5,2013.12.04,exp2A V3,prices prior bins: first 10 Ss 40 bins each,10
experiment6,2013.12.05 and 2014.01.10,exp2B V4 V5,prices prior bins: first 10 Ss 40 bins each,30
experiment7,2014.01.31,exp1,sorites premises,
experiment8,2014.01.31,exp2.3 pilot,sorites priors,
experiment9,2014.02.12,exp2c,3 domain bins,
